fund_id,fund_name,one_month,three_month,six_month,one_year,three_year,from_start
000267,广发集利一年定期开放债券A,0.38%,1.42%,1.51%,-0.79%,32.01%,40.07%
000268,广发集利一年定期开放债券C,0.28%,1.23%,1.23%,-1.26%,30.25%,37.68%
000273,华润元大安鑫灵活配置混合,-3.17%,8.83%,3.55%,8.22%,87.98%,92.30%
000270,建信安心保本混合,2.00%,0.30%,0.99%,1.49%,2.03%,44.53%
000271,中邮定期开放债券A,0.19%,1.64%,1.25%,0.16%,22.76%,30.92%
000272,中邮定期开放债券C,0.19%,1.66%,1.36%,0.16%,21.92%,29.65%
000274,广发亚太中高收益债券,-0.25%,-2.41%,-1.78%,2.96%,23.24%,29.40%
000275,广发亚太中高收益债券现汇,1.00%,0.66%,1.50%,3.05%,14.01%,19.26%
000277,博时双月薪定期支付债券,0.00%,1.53%,1.02%,1.24%,35.24%,46.39%
000278,融通通泽灵活配置混合,3.15%,6.28%,3.96%,3.15%,25.14%,13.50%
000280,博时双债增强债券A,0.00%,0.97%,-0.44%,-3.49%,11.65%,18.91%
000279,华商红利优选灵活配置,3.92%,6.79%,-0.94%,3.08%,109.33%,116.66%
000281,博时双债增强债券C,0.09%,0.98%,-0.44%,-3.69%,10.82%,17.70%
000287,银华永利债券A,-0.57%,-0.49%,-0.33%,-1.88%,18.00%,26.97%
000286,银华信用季季红债券,0.00%,1.66%,3.66%,5.61%,21.57%,29.14%
000288,银华永利债券C,-0.58%,-0.58%,-0.50%,-2.31%,16.74%,25.14%
000289,鹏华丰泰定期开放债券A,0.01%,2.07%,0.66%,-3.28%,26.09%,32.27%
000290,鹏华全球高收益债,-0.54%,-1.42%,0.54%,5.80%,32.78%,43.78%
000292,鹏华丰信分级债券A
000294,华安生态优先混合,3.59%,22.75%,14.86%,14.09%,84.12%,87.80%
000291,鹏华丰信分级债券,0.11%,2.18%,1.57%,-0.88%,28.90%,41.51%
000293,鹏华丰信分级债券B,0.12%,2.48%,1.29%,-11.87%,22.61%,35.24%
000295,鹏华丰实定期开放债券A,-0.38%,1.26%,0.29%,-2.24%,24.04%,30.61%
000296,鹏华丰实定期开放债券B,-0.29%,1.17%,0.19%,-2.45%,22.90%,28.92%
000300,德邦德利货币A,0.31%,0.94%,1.81%,3.09%,10.34%,14.86%
000297,鹏华可转债债券,-0.12%,9.18%,3.01%,-1.04%,--,-14.40%
000298,中海纯债债券A,0.00%,1.72%,1.41%,-4.55%,14.19%,14.53%
000299,中海纯债债券C,-0.10%,1.64%,1.22%,-4.98%,12.93%,13.16%
000301,德邦德利货币B,0.33%,1.00%,1.93%,3.34%,11.14%,15.93%
000302,国泰淘金互联网债券,0.22%,1.23%,0.82%,0.15%,11.65%,17.57%
000305,中银中高等级A,0.00%,1.57%,0.78%,-0.72%,16.54%,25.69%
000303,长盛双月红定期债券A,-0.10%,1.05%,0.84%,-2.68%,11.70%,18.19%
000306,天弘弘利债券,-0.55%,0.24%,-0.08%,-0.32%,17.93%,26.30%
000304,长盛双月红定期债券C,-0.10%,1.05%,0.73%,-2.88%,10.82%,16.98%
000307,易方达黄金ETF联接A,1.10%,-0.47%,-0.95%,-3.15%,--,-0.95%
000309,大摩品质生活股票,-3.54%,0.90%,-4.11%,4.72%,84.12%,79.70%
000310,安信永利信用A,0.28%,3.21%,2.43%,1.67%,25.63%,36.05%
000308,建信创新中国混合,-1.31%,6.55%,3.95%,2.67%,110.41%,134.40%
000311,景顺长城沪深300增强,-0.51%,12.62%,14.26%,25.30%,112.39%,127.04%
000316,中海惠利纯债分级债券,0.11%,-4.66%,-4.85%,-7.79%,9.46%,15.30%
000313,华安沪深300增强C,-0.27%,16.11%,18.12%,22.33%,77.00%,78.24%
000312,华安沪深300增强A,-0.24%,16.23%,18.38%,22.93%,80.15%,82.31%
000314,招商瑞丰灵活配置混合发起式A,0.15%,3.30%,5.33%,5.84%,37.62%,51.25%
000317,中海惠利纯债分级债券A
000319,泰达淘利债券A,0.16%,1.65%,1.73%,2.07%,23.18%,23.30%
000322,农银14天理财A,0.32%,0.92%,1.68%,3.17%,10.99%,14.65%
000318,中海惠利纯债分级债券B,0.00%,1.29%,-1.57%,-13.92%,10.30%,17.69%
000320,泰达淘利债券B,0.08%,1.49%,1.49%,1.74%,22.38%,22.50%
000324,华润元大现金收益货币A,0.33%,0.99%,1.61%,2.88%,10.32%,14.49%
000325,华润元大现金收益货币B,0.35%,1.05%,1.73%,3.13%,11.12%,15.54%
000326,南方顺达,4.90%,0.10%,1.65%,1.26%,2.55%,--
000327,南方丰合,8.10%,-0.09%,2.08%,2.56%,3.45%,--
000328,上投摩根转型动力,0.18%,12.16%,19.79%,14.10%,82.37%,70.70%
000329,鹏华丰饶定开债,0.20%,0.91%,1.43%,-0.50%,--,-0.50%
000331,中加货币A,0.33%,0.99%,1.84%,3.32%,11.12%,16.34%
000330,汇添富现金宝货币,0.36%,1.08%,1.99%,3.41%,10.93%,16.45%
000332,中加货币C,0.35%,1.05%,1.96%,3.57%,11.93%,17.42%
000323,农银14天理财B,0.34%,0.98%,1.80%,3.42%,11.80%,15.66%
000333,长城稳固收益债券A,0.00%,1.11%,1.30%,0.57%,--,11.13%
000334,长城稳固收益债券C,0.00%,1.03%,1.12%,0.11%,--,10.03%
000336,农银研究精选,0.43%,2.60%,-2.43%,-8.27%,47.96%,39.38%
000341,嘉实新兴市场C2(QDII,0.81%,2.09%,3.89%,5.16%,16.06%,18.39%
000339,长城医疗保健混合,1.38%,2.23%,-1.08%,7.78%,40.84%,46.90%
000342,嘉实新兴市场A1(QDII),-0.25%,-0.76%,1.03%,5.83%,29.54%,49.62%
000343,华夏财富宝货币A,0.33%,1.05%,1.99%,3.40%,11.26%,16.30%
000346,建信安心回报两年定开债券A,0.20%,1.59%,1.98%,3.09%,17.01%,24.06%
000345,鹏华丰融定期开放债券,0.17%,1.87%,2.31%,1.70%,19.66%,27.44%
000347,建信安心回报两年定开债券C,0.10%,1.49%,1.79%,2.69%,15.77%,22.29%
000351,国富恒丰定期债券A,0.30%,1.66%,1.81%,2.07%,21.83%,29.44%
000352,国富恒丰定期债券C,0.40%,1.57%,1.73%,1.69%,20.44%,27.72%
000354,长盛城镇化主题混合,0.53%,5.13%,0.91%,1.99%,81.77%,102.86%
000338,鹏华双债保利债券,0.09%,0.67%,1.19%,-0.62%,14.47%,21.96%
000335,安信永利信用C,0.28%,3.07%,2.28%,1.32%,24.10%,34.03%
000360,信诚年年有余A,-0.17%,2.86%,2.22%,0.55%,20.15%,28.20%
000361,信诚年年有余B,-0.26%,2.72%,1.98%,0.04%,18.57%,26.15%
000359,易方达易理财货币,0.36%,1.09%,2.09%,3.74%,11.79%,16.74%
000362,国泰聚信价值优势灵活配置A,-0.25%,5.30%,0.17%,8.82%,115.18%,119.27%
000366,汇添富添富通货币A,0.31%,0.92%,1.71%,3.01%,--,7.62%
000363,国泰聚信价值优势灵活配置C,-0.33%,5.09%,-0.08%,11.19%,118.05%,123.72%
000367,国泰安康养老定期支付混合A,0.15%,3.36%,4.48%,5.38%,30.50%,35.20%
000368,汇添富沪深300安中指数,1.01%,8.19%,9.20%,15.56%,53.71%,49.99%
000369,广发全球医疗保健现钞,-3.70%,-1.09%,2.99%,4.17%,24.92%,40.28%
000370,广发全球医疗保健现汇,-2.60%,1.92%,6.16%,4.08%,15.47%,29.15%
000372,中银惠利半年定期开放债券,0.10%,1.70%,1.19%,-0.07%,18.68%,28.51%
000373,华安中证细分医药ETF联接,1.12%,0.72%,3.53%,4.04%,--,26.10%
